signal,fit_window,refit_every,entry_threshold,stop_loss_mult,num_trades,total_pnl,sharpe,max_drawdown_$,worst_trade,best_trade,win_rate_%,avg_trade_pnl,ann_return_$,ann_vol_$
GARCH,126,63,1.2,1.5,34,-5151.486781921001,-0.5199909475441978,-6353.389548669002,-2238.8227923900004,919.5293068000003,44.11764705882353,-155.02164102202946,-870.0902607534131,1673.2796308525308
GARCH,126,63,1.2,2.0,34,-5059.116024985997,-0.4727731421858461,-6155.5760899339975,-2238.8227923900004,919.5293068000003,50.0,-152.30485405335295,-854.4887656142569,1807.397014271084
GARCH,126,63,1.2,2.5,34,-3502.1419376369986,-0.30900566334158325,-5337.830402633999,-2238.8227923900004,919.5293068000003,55.88235294117647,-106.51149854308825,-591.5145900030319,1914.2516146998757
GARCH,252,5,1.05,1.5,54,-672.3157388989991,-0.06235785174752839,-4273.802265248999,-2238.8227923900004,1368.3598292,55.55555555555556,-12.450291461092657,-113.55466903656017,1821.0163733079694
GARCH,252,5,1.05,2.0,54,1401.347262235999,0.1186270917342066,-4919.445359414001,-2238.8227923900004,1368.3598292,68.51851851851852,25.95087522659262,236.6886796806111,1995.2329288399892
GARCH,252,5,1.05,2.5,54,-462.0217933649983,-0.03721634744640325,-6578.083930615003,-2238.8227923900004,1368.3598292,68.51851851851852,-8.555959136388875,-78.03585249864584,2096.8165296454304
GARCH,252,5,1.1,1.5,50,-435.8386384489959,-0.04356052083939461,-3706.541127998999,-2238.8227923900004,602.80540255,57.99999999999999,-8.71677276897998,-73.61349657449527,1689.9131405224568
GARCH,252,5,1.1,2.0,50,-2046.6544086639983,-0.18685628316303507,-6637.054925963999,-2238.8227923900004,602.80540255,66.0,-40.933088173279955,-345.68157572609084,1849.986363179868
GARCH,252,5,1.1,2.5,50,-3573.1524068649933,-0.3128269779587718,-7537.554847814998,-2238.8227923900004,602.80540255,66.0,-71.46304813729994,-603.5083153686182,1929.2080219761483
GARCH,252,5,1.15,1.5,43,-1270.9969082130003,-0.17389458739148086,-3218.3322577,-1141.2480177500001,954.0853341590002,51.162790697674424,-29.55806763286047,-214.6724000466998,1234.4973082078611
